flash,ram,text,code,rodata,data,bss,dec,hex,filename
1322,0,1322,662,660,0,0,1322,`52a,armino/cmsis/libcmsis.a
10207,5652,10199,7770,2429,8,5644,15851,`3deb,armino/controller_if/libcontroller_if.a
62021,3655,59595,48296,11299,2426,1229,63250,`f712,armino/bk_wifi/libbk_wifi.a
223552,45779,223380,192282,31098,172,45607,269159,`41b67,/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libwifi.a
58610,3864,58362,52876,5486,248,3616,62226,`f312,armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
61605,5682,59753,49018,10735,1852,3830,65435,`ff9b,armino/driver/libdriver.a
7535,1114,6626,5710,916,909,205,7740,`1e3c,armino/bk_pm/libbk_pm.a
34170,9955,27125,20574,6551,7045,2910,37080,`90d8,armino/bk_cli/libbk_cli.a
8078,86,7992,7872,120,86,0,8078,`1f8e,armino/bk7258/libbk7258.a
8663,4,8663,7148,1515,0,4,8667,`21db,armino/common/libcommon.a
3042,89,3034,2418,616,8,81,3123,`c33,armino/bk_system/libbk_system.a
148962,378,148918,133488,15430,44,334,149296,`24730,armino/wpa_supplicant-2.10/libwpa_supplicant-2.10.a
105632,24024,105572,92682,12890,60,23964,129596,`1fa3c,/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libbluetooth_controller_ble_cp_slave_only.a
68926,5391,68811,54892,13919,115,5276,74202,`121da,/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libbk_phy.a
4169,368,3913,2834,1079,256,112,4281,`10b9,armino/cm33/libcm33.a
672,4,672,558,114,0,4,676,`2a4,armino/bk_init/libbk_init.a
411,8,411,402,9,0,8,419,`1a3,armino/bk_startup/libbk_startup.a
2448,17,2448,1926,522,0,17,2465,`9a1,armino/bk_event/libbk_event.a
5040,304,5040,3232,1808,0,304,5344,`14e0,armino/at_server/libat_server.a
44,0,44,32,12,0,0,44,`2c,armino/bk_uid/libbk_uid.a
20544,0,20544,200,20344,0,0,20544,`5040,armino/utf8/libutf8.a
11477,4825,6661,5676,985,4816,9,11486,`2cde,armino/bk_rtos/libbk_rtos.a
14981,924,14973,13368,1605,8,916,15897,`3e19,armino/os_source/libos_source.a
4324,328,4324,2034,2290,0,328,4652,`122c,armino/coredump/libcoredump.a
8252,268,8248,5586,2662,4,264,8516,`2144,armino/easy_flash/libeasy_flash.a
9183,3582,8779,6254,2525,404,3178,12361,`3049,armino/bk_bluetooth/libbk_bluetooth.a
3270,112,3270,2684,586,0,112,3382,`d36,armino/temp_detect/libtemp_detect.a
3366,13,3366,1740,1626,0,13,3379,`d33,armino/bk_phy/libbk_phy.a
525,65,525,488,37,0,65,590,`24e,armino/bk_netif/libbk_netif.a
879,0,879,856,23,0,0,879,`36f,armino/uart_debug/libuart_debug.a
3853,56,3817,3592,225,36,20,3873,`f21,armino/iperf/libiperf.a
1198,4,1194,72,1122,4,0,1198,`4ae,armino/vnd_cal/libvnd_cal.a
356,0,356,100,256,0,0,356,`164,armino/bk_common/libbk_common.a
53,0,53,24,29,0,0,53,`35,/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libbk_phy_info.a
400,18,400,300,100,0,18,418,`1a2,/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libbk_coex.a
2642,4,2642,2386,256,0,4,2646,`a56,/home/liyy/work/bk_avdk_smp_v3.1.1.8/bk_avdk_smp/cp/components/bk_libs/bk7258/libs/libuid.a
25162,1434,23728,22484,1244,1434,0,25162,`624a,/opt/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
38332,40,38292,33826,4466,40,0,38332,`95bc,armino/psa_mbedtls/libpsa_mbedtls.a
4240,0,4240,4240,0,0,0,4240,`1090,/opt/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/thumb/v8-m.main+fp/hard/libgcc.a
28,0,28,28,0,0,0,28,`1c,armino/cp/libcp.a
116,1,116,116,0,0,1,117,`75,armino/bk_ate/libbk_ate.a
16,0,16,16,0,0,0,16,`10,armino/bk_adapter/libbk_adapter.a
256,0,256,256,0,0,0,256,`100,/opt/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libm.a
